"","","Motorway","Urban A","Rural A","total"
"E09000031","hgv","0","123654.887006225","24500.5109937754","155954.72"
"E09000032","hgv","0","100423.375002322","1128.45799767846","118465.12"
"E09000033","hgv","0","117004.702921695","7118.1862283053","142419.36"
"E09000001","bicycle","0","63277.075363994","4912.57138600596","90237.76"
"E09000002","bicycle","0","5286.24031728243","254.788182717571","21439.04"
"E09000003","bicycle","0","20883.1184758156","827.081524184424","45627.36"
"E09000004","bicycle","0","9055.78926802595","564.771231974048","30506.56"
"E09000005","bicycle","0","15900.4585","0","37699.52"
"E09000006","bicycle","0","14792.5806232758","1488.82837672417","60761.12"
"E09000007","bicycle","0","123002.445","0","190317.44"
"E09000008","bicycle","0","19712.8517890704","162.0917109296","91169.92"
"E09000009","bicycle","0","29174.0485","0","58215.84"
"E09000010","bicycle","0","12038.9965232272","964.128476772777","42512.64"
"E09000011","bicycle","0","22671.0835524434","188.209447556563","50713.12"
"E09000012","bicycle","0","76017.5003600565","1244.67763994347","149545.76"
"E09000013","bicycle","0","90656.3130305029","1219.87366949714","143954.08"
"E09000014","bicycle","0","26561.9518828629","113.087617137116","124683.52"
"E09000015","bicycle","0","5649.5065","52.998","23474.08"
"E09000016","bicycle","0","4960.79586657955","918.80663342045","42277.6"
"E09000017","bicycle","0","12297.5537010031","1012.17129899692","153367.04"
"E09000018","bicycle","0","31170.5061875956","1452.02581240439","107967.52"
"E09000019","bicycle","0","136653.5545","0","195991.36"
"E09000020","bicycle","0","84613.7809480878","7827.46955191215","152319.68"
"E09000021","bicycle","0","16876.5931840755","1624.70931592445","77297.6"
"E09000022","bicycle","0","174957.840798149","5493.932501851","230150.72"
"E09000023","bicycle","0","46954.33","0","107893.6"
"E09000024","bicycle","0","17374.5475","0","55070.72"
"E09000025","bicycle","0","22264.0964768458","1086.37702315419","128136.64"
"E09000026","bicycle","0","8346.62491013061","2735.87008986939","36504.96"
"E09000027","bicycle","0","41046.7431393627","6908.81836063728","101566.88"
"E09000028","bicycle","0","163646.615263054","2977.60023694589","215078.56"
"E09000029","bicycle","0","7443.372","0","52753.28"
"E09000030","bicycle","0","69211.9104565748","1543.04754342516","178070.4"
"E09000031","bicycle","0","15023.0492418321","2907.86775816792","35800.16"
"E09000032","bicycle","0","101964.511723467","1533.06327653258","146533.28"
"E09000033","bicycle","0","173076.678344111","19005.7360058887","293988.64"
"E09000001","motorcycle","0","51892.1063102892","3690.2396897108","66869.6"
"E09000002","motorcycle","0","29155.3525017091","2989.46749829095","48100.48"
"E09000003","motorcycle","16488.8385","83070.2940020679","6245.02349793211","135083.2"
"E09000004","motorcycle","0","51049.7187569549","8058.74624304505","81414.88"
"E09000005","motorcycle","0","49407.8235","0","76626.56"
"E09000006","motorcycle","0","37097.8390480114","9170.76545198858","96326.72"
"E09000007","motorcycle","0","92869.87","0","131019.2"
"E09000008","motorcycle","0","47351.002942636","1340.21605736397","121084.48"
"E09000009","motorcycle","0","83738.2635","0","123447.36"
"E09000010","motorcycle","11655.107","43028.7607407067","3568.01525929334","87434.88"
"E09000011","motorcycle","0","102449.787989071","3920.95751092858","138687.36"
"E09000012","motorcycle","0","59400.1778318998","1013.23516810024","88246.88"
"E09000013","motorcycle","0","95318.741519294","2190.82233070596","151920.8"
"E09000014","motorcycle","0","36089.6507427275","152.549757272509","74804.8"
"E09000015","motorcycle","2516.31","12400.0355","110.376","35722.72"
"E09000016","motorcycle","12984.9115","22985.7812968265","18752.8812031735","96790.4"
"E09000017","motorcycle","22186.963","43827.6091183975","3146.9418816025","144071.36"
"E09000018","motorcycle","28824.5245","64661.418991361","5746.24150863905","141585.92"
"E09000019","motorcycle","0","85400.6925","0","117909.76"
"E09000020","motorcycle","0","96040.3146317814","5160.20586821855","168751.68"
"E09000021","motorcycle","0","60484.4623887839","2282.68961121613","94628.64"
"E09000022","motorcycle","0","128293.120567955","2420.4239320451","191634.08"
"E09000023","motorcycle","0","53612.7695","0","133408.16"
"E09000024","motorcycle","0","39185.67","0","75578.24"
"E09000025","motorcycle","0","52623.5748289084","7542.47767109155","99534.08"
"E09000026","motorcycle","4959.693","42118.2040219748","11404.3374780252","80708.96"
"E09000027","motorcycle","0","51215.1629011281","10146.8850988719","96469.6"
"E09000028","motorcycle","0","117359.578983738","2589.86001626169","185432.96"
"E09000029","motorcycle","0","17230.409","0","68661.76"
"E09000030","motorcycle","0","116176.850115648","3861.61238435247","163102.56"
"E09000031","motorcycle","0","38368.473052188","6475.64594781198","62949.44"
"E09000032","motorcycle","0","130523.239208454","2455.38579154556","167619.84"
"E09000033","motorcycle","0","184341.797024484","16235.9777255161","306220.48"
"E09000001","bus","0","29440.3108931522","1427.41060684777","34122.72"
"E09000002","bus","0","32184.0372276742","1626.3507723258","44048.96"
"E09000003","bus","12988.5615","98864.6133500381","6362.03964996192","144999.52"
"E09000004","bus","0","57977.7492708862","4816.52222911382","84486.08"
"E09000005","bus","0","66720.2115","0","97544"
"E09000006","bus","0","67026.276898167","8339.79910183297","123518.08"
"E09000007","bus","0","84015.043","0","94106.24"
"E09000008","bus","0","69347.9828035742","1453.07469642579","108520.48"
"E09000009","bus","0","77337.9155","0","115055.2"
"E09000010","bus","8564.214","66326.7568273959","4071.66917260411","97445.6"
"E09000011","bus","0","81004.8559085192","2026.18359148075","114889.12"
"E09000012","bus","0","82712.9376533148","1708.60584668517","100351.2"
"E09000013","bus","0","72232.5348474722","1350.0416525278","84941.44"
"E09000014","bus","0","74887.9620511428","130.378448857218","97120.8"
"E09000015","bus","1281.15","32879.9665","227.103","55275.04"
"E09000016","bus","6830.9385","36652.8558468593","6573.43715314074","75085.28"
"E09000017","bus","20813.614","74852.1499515679","6631.36254843204","163355.04"
"E09000018","bus","19226.813","76666.9555081309","3096.9689918691","132787.2"
"E09000019","bus","0","83406.4785","0","92664"
"E09000020","bus","0","63218.175192547","1540.562807453","80029.92"
"E09000021","bus","0","43628.0146859992","1647.05981400083","71210.08"
"E09000022","bus","0","132154.664639614","3386.89911038561","165482.56"
"E09000023","bus","0","74483.9805","0","113509.6"
"E09000024","bus","0","45332.2335","0","62464.96"
"E09000025","bus","0","70288.5261607636","4104.13133923644","90693.92"
"E09000026","bus","3202.9845","48692.8502184772","9440.6632815228","74922.24"
"E09000027","bus","0","53355.7219267416","7858.42807325841","86337.44"
"E09000028","bus","0","128825.042376931","1244.27712306921","162971.36"
"E09000029","bus","0","27348.72","0","50639.04"
"E09000030","bus","0","65438.8381278249","912.248872175148","101590.56"
"E09000031","bus","0","49640.7466108995","5244.8143891005","65235.52"
"E09000032","bus","0","86852.060796194","1070.23420380601","100268.32"
"E09000033","bus","0","212061.107218186","6910.58703181376","240848.48"
