"","","Motorway","Urban A","Rural A","total"
"E08000022","bus","0","21072.2067915945","10832.9542084055","112089.76"
"E08000023","bus","20.878","13898.6593190719","5530.61918092812","64059.36"
"E08000024","bus","625.5735","37915.1760997599","16296.8066002401","160089.6"
"E06000048","bus","0","0","0","149522.08"
"E08000020","bus","0","0","0","154099.68"
"E08000001","car","2648419.633","2712906.1649226","694244.662077396","9840395.04"
"E08000002","car","3433263.219","1437685.38028682","319064.583713184","7606371.04"
"E08000003","car","3127816.0715","4262604.22266908","252868.702830925","12938661.12"
"E08000004","car","1175239.9575","1745719.38507754","381299.098422462","5156014.72"
"E08000005","car","3648577.4125","1646218.32020903","483882.02254097","7716485.12"
"E08000006","car","5145629.329","2616909.57874229","585696.306757705","10906960.48"
"E08000007","car","2508851.6265","2575849.36085392","516561.49164608","8945183.04"
"E08000008","car","1950412.102","1482611.22310929","244536.437890713","5512185.76"
"E08000009","car","1999497.74","1733560.67641519","320490.036584811","7200279.68"
"E08000010","car","2657007.2435","2401799.24348878","842307.142011224","8995228"
"E08000001","lgv","474319.1425","426269.241017352","112056.885482649","1657069.44"
"E08000002","lgv","670199.9695","197991.917793497","48045.6762065033","1330258.24"
"E08000003","lgv","444962.5575","566005.986832732","28163.4606672682","1923879.04"
"E08000004","lgv","230242.511","301554.250673538","69440.6188264617","914864"
"E08000005","lgv","719183.59","268425.784384379","83895.5938656208","1400733.28"
"E08000006","lgv","921847.9055","418072.961070952","91011.9569290481","1858833.28"
"E08000007","lgv","426938.0545","354075.191146033","82040.9343539672","1417589.28"
"E08000008","lgv","367151.4195","268250.804873669","43517.8141263311","984957.12"
"E08000009","lgv","302673.1475","244419.251720599","48770.2467794008","1130718.24"
"E08000010","lgv","490049.5475","427277.517765965","154013.598234035","1597660.32"
"E08000001","hgv","278652.315","84937.4341493135","26315.3688506866","442924"
"E08000002","hgv","451244.828","35619.8934211822","11008.8565788178","529964.48"
"E08000003","hgv","218101.297","119353.006429946","6358.3955700543","432144.96"
"E08000004","hgv","105234.0625","65049.7330263222","15934.5689736778","211316.64"
"E08000005","hgv","708034.446","54055.7833647366","22018.8306352634","807970.24"
"E08000006","hgv","729302.9595","109646.290134812","28179.4618651881","907516.32"
"E08000007","hgv","192592.25","83701.5835426533","15621.5959573467","347042.08"
"E08000008","hgv","162499.4235","60034.4569479512","9235.09705204885","261993.28"
"E08000009","hgv","149388.952","58658.0623805486","12801.2361194514","275969.92"
"E08000010","hgv","411262.509","106848.092493912","52806.2290060883","612636.48"
"E08000001","bicycle","0","15180.2466126334","3170.71238736656","94595.52"
"E08000002","bicycle","0","9581.13308329609","1654.69841670391","58931.36"
"E08000003","bicycle","0","61201.0227651613","499.562734838741","232205.28"
"E08000004","bicycle","0","7368.25608466906","1780.54191533094","46013.92"
"E08000005","bicycle","0","7487.15587022085","2843.63987977915","51964.48"
"E08000006","bicycle","0","21750.9343642827","3529.87813571725","110519.84"
"E08000007","bicycle","0","16805.4015010908","2222.70549890917","124535.04"
"E08000008","bicycle","0","12392.9855773215","1885.15742267849","69678.4"
